input_factor,range_tested,mean_abs_slope,output_span
bp,100 to 200,0.02613387516484517,2.613387516484515
hr,50 to 200,0.010755688124067176,1.2759327576280945
chol,100 to 280,0.004265919442381602,0.5983497732953622
